iIdActivo,sDescripcion,vDescripcionExtendida,sMarca,sModelo,vNumerodeSerie,sFamilia,vFactura,sProveedor,dFechaAdquisicion,dValorAdquisicion,sClase,sUso,sEstadoFisico,sUbicacion,vResponsable,bTieneGarantia,dFechaDesdeG,dFechaHastaG,bEgresado,vUsuarioAut,vMotivoEgreso,sCondicion,dFechaEgreso
1,299,CUERO NEGRO GIRATORIA,157,146,,4,SF,1,2007-06-05 00:00:00,40.00,1,1,1,15,Andrea,0,2007-06-05 00:00:00,2007-06-05 00:00:00,1,parrobo,R,1,2014-10-13 10:47:00
2,62,NEGRA,15,53,,6,SF,1,2007-06-05 00:00:00,10.00,1,1,1,8,JAQUISHPE,0,2007-06-05 00:00:00,2007-06-05 00:00:00,0,NULL,NULL,1,NULL
3,234,GRIS CON NEGRO SERVIDOR,75,147,ZF-5510647355,7,SF,1,2007-06-05 00:00:00,15.00,1,1,1,17,vherreria,0,2007-06-05 00:00:00,2007-06-05 00:00:00,0,NULL,NULL,1,NULL
4,86,TITULO PROFESIONAL,52,146,,1,SF,1,2007-06-05 00:00:00,10.00,1,1,1,15,Andrea,0,2007-06-05 00:00:00,2007-06-05 00:00:00,1,parrobo,D,1,2012-11-15 11:35:00
5,171,DICCION ESPECIALIDAD ODONT T. PLM ED 2007,157,146,,1,SF,1,2007-06-05 00:00:00,20.00,1,1,1,15,Andrea,0,2007-06-05 00:00:00,2007-06-05 00:00:00,1,parrobo,D,1,2010-01-26 10:37:00
6,1,BLANCO PLASTICO,195,146,,3,SF,1,2007-06-05 00:00:00,6.00,1,1,1,2,JAQUISHPE,0,2007-06-05 00:00:00,2007-06-05 00:00:00,0,NULL,NULL,1,NULL
7,340,MADERA GRANDE,46,146,,3,SF,1,2007-06-05 00:00:00,1.57,1,1,1,15,Andrea,0,2007-06-05 00:00:00,2007-06-05 00:00:00,1,parrobo,D,1,2008-12-15 09:40:00
8,164,METALICO,85,146,,3,SF,1,2007-06-05 00:00:00,17.00,1,1,1,2,JAQUISHPE,0,2007-06-05 00:00:00,2007-06-05 00:00:00,0,NULL,NULL,1,NULL
9,244,METALICO,45,146,,3,SF,1,2007-06-05 00:00:00,1.70,1,1,1,2,JAQUISHPE,0,2007-06-05 00:00:00,2007-06-05 00:00:00,0,NULL,NULL,1,NULL
10,102,PLASTICA CELESTE ,157,146,,3,SF,1,2007-06-05 00:00:00,1.50,1,1,1,15,Andrea,0,2007-06-05 00:00:00,2007-06-05 00:00:00,1,parrobo,D,1,2010-01-26 10:37:00
11,92,METALICA RIGIDA,157,146,,3,SF,1,2007-06-05 00:00:00,1.50,1,1,1,2,JAQUISHPE,0,2007-06-05 00:00:00,2007-06-05 00:00:00,0,NULL,NULL,1,NULL
