iIdActivo,sUbicacion,vResponsable,dFechaMovimiento,sNuevaUbicacion,vNuevoResponsable,vusuario,vusuarioAut
1501,1,Andrea,2007-06-13 13:01:00,NULL,NULL,dbo,NULL
1502,1,susana,2007-06-14 10:20:00,NULL,NULL,dbo,NULL
1503,1,susana,2007-06-14 10:26:00,NULL,NULL,dbo,NULL
1504,1,susana,2007-06-14 10:28:00,NULL,NULL,dbo,NULL
1505,1,susana,2007-06-14 10:37:00,NULL,NULL,dbo,NULL
1506,1,susana,2007-06-14 10:38:00,NULL,NULL,dbo,NULL
1507,1,susana,2007-06-14 10:39:00,NULL,NULL,dbo,NULL
1508,1,susana,2007-06-14 10:40:00,NULL,NULL,dbo,NULL
1509,1,susana,2007-06-14 10:41:00,NULL,NULL,dbo,NULL
1510,1,susana,2007-06-14 10:42:00,NULL,NULL,dbo,NULL
1511,1,susana,2007-06-14 10:45:00,NULL,NULL,dbo,NULL
1512,1,susana,2007-06-14 10:46:00,NULL,NULL,dbo,NULL
1513,1,susana,2007-06-14 10:46:00,NULL,NULL,dbo,NULL
1514,10,vherreria,2007-06-14 10:48:00,NULL,NULL,dbo,NULL
1515,10,vherreria,2007-06-14 10:51:00,NULL,NULL,dbo,NULL
1516,10,vherreria,2007-06-14 10:52:00,NULL,NULL,dbo,NULL
1517,10,vherreria,2007-06-14 10:53:00,NULL,NULL,dbo,NULL
1518,10,vherreria,2007-06-14 10:54:00,NULL,NULL,dbo,NULL
1519,10,vherreria,2007-06-14 10:55:00,NULL,NULL,dbo,NULL
1520,10,vherreria,2007-06-14 10:56:00,NULL,NULL,dbo,NULL
1521,10,vherreria,2007-06-14 10:57:00,NULL,NULL,dbo,NULL
1522,10,vherreria,2007-06-14 10:58:00,NULL,NULL,dbo,NULL
1523,10,vherreria,2007-06-14 10:59:00,NULL,NULL,dbo,NULL
1524,10,vherreria,2007-06-14 11:00:00,NULL,NULL,dbo,NULL
1527,1,susana,2007-06-28 11:06:00,NULL,NULL,dbo,NULL
1528,2,rmoreira,2007-06-28 11:08:00,NULL,NULL,dbo,NULL
