No#,DESCRIPCION ,DESCRIPCION EXTENDIDA,MARCA,MODELO,  No# SERIE,FAMILIA,COD CDA,FACTURA,PROVEEDOR,F# ADQ,V# ADQ,F# GT,UB,RESPONSABLE,EST
31,299,CUERO NEGRO GIRATORIA,74,146,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,7,Andrea,B
65,62,NEGRA,15,53,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,8,rmoreira,B
99,234,GRIS CON NEGRO SERVIDOR,75,147,ZF-SS106473SS,7,NULL,NULL,NULL,NULL,NULL,NULL,10,vherreria,B
133,86,TITULO PROFESIONAL,52,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,10,vherreria,B
161,182,THOMSON PLM EDICION2007,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,10,vherreria,B
195,1,BLANCO PLASTICO,195,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
233,139,DE YESO MADERA GRANDE,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
270,164,METALICO,85,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
308,244,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
346,102,CELESTE PLASTICAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
382,92,METALICA RIGIDA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
417,157,TRANSPARENTES,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
454,1,PLASTICO AZUL ,65,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,rmoreira,B
489,25,CAFÉ-BEIGE,39,163,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,3,jlandi,B
527,150,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,3,jlandi,B
565,206,METALICO,106,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,3,jlandi,B
604,279,METALICO,175,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,3,jlandi,B
641,219,GRIS,128,76,A4722254,5,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
679,122,FINO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
717,121,CURVO CORTO,158,29,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
755,298,PEQUEÑO,74,135,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
798,138,Ninguno,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
841,206,Ninguno,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
884,57,METALICA  CUADRADA,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
924,1,MEDIUM AZUL ,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
960,27,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
961,27,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
962,36,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
963,36,METALICO,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
964,36,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
965,36,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
966,39,METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,M
967,42,PORTA INSTRUMENTAL METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
968,42,PORTA INSTRUMENTAL METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
969,42,PORTA INSTRUMENTAL METALICO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
970,50,METALICO,47,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
925,1,MEDIUM AZUL ,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
926,39,DOBLE PUNTA EXTRACTOR DE CORONA,107,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
927,203,CON FILO NEGRO,173,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
928,26,Ninguno,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
929,313,METALICO,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,R
930,313,METALICO 12 LITRES,166,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
931,117,PLASTICO BLANCO,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
932,119,PLASTICO BLANCO,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
933,311,VERDE,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
934,313,ALAMBRE,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
935,314,CORTO PUNZANTE,157,146,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,4,ghidalgo,B
936,321,NEGRO,163,146,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
937,284,BLANCA,71,155,0509A210-373,6,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
938,221,MEDIANO  BLANCO,157,146,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
939,34,MADERA BLANCO,157,146,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
940,299,YUTE AZUL,157,146,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
941,291,CELESTE DE PARED,157,137,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
942,300,AZUL,76,102,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
943,169,BLANCA,76,128,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
944,137,BLANCA,76,144,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
945,330,BLANCA,76,50,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
946,312,AZUL,76,146,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
947,308,BLANCO,76,93,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
948,170,BLANCA,42,106,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
949,146,BLANCO,157,75,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
950,331,GRIS,128,124,B0319423,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
951,241,GRIS,128,77,E2471376,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,R
952,219,GRIS,126,76,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
953,240,GRIS,128,72,D2899341,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
954,51,GRIS,128,112,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
955,72,GRIS 25K,12,13,M01091,5,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
956,1,BLANCO ,157,100,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
957,1,ROJO,157,100,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
958,1,BLANCO ,157,144,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
959,2,METALICO PEQUEÑO,66,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
971,50,METALICO,47,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1114,244,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1115,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1116,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1117,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1118,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1119,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1120,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1121,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1122,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1123,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1124,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1125,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1126,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1127,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1128,249,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1129,249,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1130,249,METALICO,45,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1131,249,METALICO,47,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1132,249,METALICO,46,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1133,249,METALICO,46,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1134,42,RIÑON  METALICO,166,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1135,307,2 EN 1 METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1136,324,SACAR PUNTOS METALICO,46,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1137,324,SACAR PUNTOS METALICO,46,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1138,139,DE CEMENTO METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1139,139,DE CEMENTO METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1140,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1141,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1142,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1143,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1144,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1145,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1146,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1147,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1148,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
972,50,METALICO,47,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,5,mmontoya,B
1149,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1150,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1151,150,METALICO # 6,106,150,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1152,164,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1153,164,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1154,123,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1155,1,ALAMBRE-CAFÉ-TRANSPARENTE,92,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1156,1,ALAMBRE-BLANCO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1157,279,PUNTAS CURVAS,139,71,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1158,139,DE YESO PEQUEÑA,111,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1159,139,DE YESO GRANDE,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1160,156,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1161,156,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1162,154,PEQUEÑO METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1163,156,PEQUEÑO METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1164,155,PLASTICO,165,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1165,262,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1166,267,METALICO,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1167,316,METALICO GRANDE,74,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1168,202,TRANSPARENTE  ,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1169,202,TRANSPARENTE  ,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1170,157,TRANSPARENTE PLOMO-NEGRO,157,153,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1171,157,TRANSPARENTE AZUL-BLANCO-NEGRO,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1172,215,VIDRIO TAPA-AZUL,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1173,264,METALICA SACA BANDEJA,58,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1174,318,CAUCHO CELESTE,41,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,N
1175,139,METAL SACABANDEJAS,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1176,103,PLASTICAS VERDE SUPERIOR,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1177,103,PLASTICAS VERDE SUPERIOR,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1178,103,PLASTICAS VERDE SUPERIOR,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1179,103,PLASTICAS VERDES INFERIOR,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1180,103,PLASTICAS VERDES INFERIOR,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1181,103,PLASTICAS VERDES INFERIOR,157,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1182,5,PLATEADO NEGRO,164,146,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
1183,8,METALICO,43,1,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,gcastro,B
