Talonario,NumFactura,NumFacturaRef,DatoAdicional
1112769519,8627,43168,
1112905778,9231,43169,
1112769519,8628,43170,
1112905778,9232,43171,
1112769519,8629,43172,
1112769519,8629,43173,
1112905778,9233,43174,
1112905778,9234,43176,
1112769519,8630,43177,
1112769519,8631,43175,
1112769519,8631,43178,
1112905778,9235,43179,
1112769519,8632,43180,
1112769519,8633,43181,
1112905778,9236,43182,
1112905778,9237,43183,
1112769519,8634,43184,
1112769519,8635,43185,
1112905778,9238,43186,
1112769519,8636,43187,
1112905778,9239,43188,
1112905778,9240,43189,
1112905778,9241,43190,
1112905778,9242,43191,
1112769519,8637,43192,
1112769519,8638,43193,
1112905778,9243,43194,
1112769519,8639,43195,
1112769519,8640,43196,
1112769519,8641,43197,
1112769519,8642,43198,
1112769519,8643,43199,
1112905778,9244,43200,
1112905778,9245,43201,
1112905778,9245,43202,
1112905778,9246,43203,
1112905778,9247,43204,
1112905778,9248,43205,
1112905778,9249,43206,
1112905778,9250,43207,
1112905778,9251,43208,
1112905778,9252,43209,
1112769519,8644,43210,
1112905778,9253,43211,
1112769519,8645,43213,
1112769519,8646,43214,
1112769519,8647,43212,
1112769519,8648,43215,
1112769519,8649,43216,
1112905778,9254,43217,
1112769519,8650,43218,
1112769519,8651,43219,
1112769519,8652,43220,
1112769519,8652,43221,
1112905778,9255,43222,
1112769519,8653,43223,
1112905778,9256,43224,
1112769519,8654,43225,
1112769519,8655,43226,
1112905778,9257,43227,
1112905778,9257,43228,
1112905778,9258,43229,
1112769519,8656,43230,
1112769519,8657,43231,
1112905778,9259,43232,
1112769519,8658,43233,
1112905778,9260,43234,
1112769519,8659,43235,
1112905778,9261,43236,
1112769519,8660,43237,
1112905778,9262,43239,
1112769519,8661,43238,
1112769519,8662,43240,
1112905778,9263,43241,
1112905778,9264,43242,
1112905778,9265,43243,
1112769519,8663,43244,
1112905778,9266,43245,
1112769519,8664,43246,
1112769519,8665,43247,
1112769519,8666,43248,
1112905778,9267,43249,
1112769519,8667,43251,
1112905778,9268,43252,
1112769519,8668,43253,
1112905778,9269,43254,
1112905778,9269,43255,
1112905778,9270,43250,
1112905778,9271,43256,
1112769519,8669,43257,
1112769519,8670,43258,
1112905778,9272,43260,
1112769519,8671,43259,
1112769519,8672,43261,
1112769519,8673,43262,
1112769519,8674,43263,
1112905778,9273,43264,
1112769519,8675,43265,
1112769519,8676,43266,
1112769519,8676,43267,
1112905778,9274,43268,
1112769519,8677,43269,
1112769519,8677,43270,
1112769519,8678,43271,
1112905778,9275,43272,
1112769519,8679,43273,
1112905778,9276,43274,
1112769519,8680,43275,
1112769519,8681,43276,
1112905778,9277,43277,
1112905778,9278,43279,
1112769519,8682,43278,
1112769519,8682,43280,
1112769519,8683,43281,
1112905778,9279,43282,
1112769519,8684,43283,
1112905778,9280,43284,
1112769519,8685,43286,
1112769519,8685,43287,
1112905778,9281,43288,
1112769519,8686,43289,
1112905778,9282,43290,
1112769519,8687,43291,
1112769519,8687,43292,
1112905778,9283,43293,
1112769519,8688,43294,
1112905778,9284,43296,
1112769519,8689,43295,
1112769519,8690,43285,
1112905778,9285,43298,
1112905778,9285,43299,
1112905778,9286,43300,
1112905778,9287,43301,
1112769519,8691,43302,
1112905778,9288,43303,
1112905778,9289,43304,
1112905778,9290,43305,
1112769519,8692,43297,
1112769519,8693,43306,
1112769519,8694,43307,
1112769519,8694,43308,
1112769519,8694,43309,
1112769519,8695,43310,
1112769519,8696,43311,
1112769519,8697,43312,
1112905778,9291,43313,
1112769519,8698,43314,
1112769519,8699,43315,
1112905778,9292,43316,
1112769519,8700,43317,
1112905778,9293,43318,
1112905778,9293,43319,
1112905778,9293,43320,
1112769519,8701,43321,
1112905778,9294,43322,
1112769519,8702,43323,
1112905778,9295,43324,
1112905778,9296,43326,
1112905778,9297,43325,
1112905778,9298,43327,
1112905778,9299,43328,
1112905778,9300,43329,
1112905778,9301,43330,
1112905778,9302,43331,
1112769519,8703,43332,
1112905778,9303,43333,
1112905778,9303,43334,
1112769519,8704,43335,
1112905778,9304,43336,
1112905778,9305,43337,
1112769519,8705,43338,
1112769519,8706,43339,
1112769519,8707,43340,
1112769519,8708,43341,
1112905778,9306,43342,
1112905778,9307,43343,
1112905778,9308,43344,
1112769519,8709,43345,
1112769519,8710,43346,
1112769519,8711,43347,
1112769519,8712,43348,
1112905778,9309,43351,
1112769519,8713,43349,
1112769519,8713,43350,
1112769519,8714,43352,
1112905778,9310,43354,
1112769519,8715,43353,
1112905778,9311,43355,
1112905778,9311,43356,
1112905778,9312,43357,
1112905778,9313,43358,
1112769519,8716,43359,
1112769519,8717,43360,
1112905778,9314,43361,
1112769519,8718,43362,
1112769519,8719,43363,
1112769519,8720,43364,
1112769519,8720,43365,
1112905778,9315,43366,
1112769519,8721,43367,
1112769519,8722,43368,
1112905778,9316,43369,
1112905778,9317,43370,
1112769519,8723,43371,
1112905778,9318,43372,
1112905778,9319,43373,
1112769519,8724,43374,
1112905778,9320,43375,
1112769519,8725,43376,
1112769519,8726,43377,
1112769519,8727,43381,
1112905778,9321,43378,
1112905778,9321,43379,
1112905778,9321,43380,
1112905778,9321,43382,
1112769519,8728,43383,
1112769519,8729,43384,
1112905778,9322,43385,
1112905778,9322,43386,
1112905778,9322,43387,
1112769519,8730,43388,
1112905778,9323,43389,
1112769519,8731,43390,
1112769519,8732,43391,
1112905778,9324,43392,
1112905778,9325,43393,
1112769519,8733,43394,
1112769519,8733,43395,
1112905778,9326,43396,
1112905778,9326,43397,
1112769519,8734,43398,
1112905778,9327,43399,
1112769519,8735,43400,
1112905778,9328,43401,
1112905778,9329,43403,
1112769519,8736,43402,
1112769519,8736,43404,
1112769519,8737,43405,
1112769519,8738,43406,
1112905778,9330,43407,
1112905778,9331,43408,
1112905778,9332,43409,
1112905778,9333,43410,
1112769519,8739,43411,
1112769519,8740,43412,
1112905778,9334,43413,
1112905778,9335,43414,
1112905778,9336,43415,
1112905778,9337,43416,
1112905778,9338,43417,
1112769519,8741,43418,
1112769519,8742,43419,
1112905778,9339,43420,
1112769519,8743,43421,
1112769519,8744,43422,
1112769519,8745,43423,
1112905778,9340,43424,
1112905778,9341,43425,
1112905778,9342,43427,
1112905778,9343,43428,
1112769519,8746,43426,
1112905778,9344,43429,
1112769519,8747,43430,
1112769519,8747,43431,
1112769519,8748,43432,
1112769519,8749,43433,
1112769519,8750,43434,
1112905778,9345,43435,
1112905778,9346,43436,
1112905778,9347,43437,
1112769519,8751,43438,
1112905778,9348,43439,
1112905778,9348,43440,
1112769519,8752,43441,
1112769519,8752,43442,
1112905778,9349,43443,
1112769519,8753,43444,
1112905778,9350,43445,
1112769519,8754,43446,
