Talonario,idRuc,NumInicial,NumFinal,NumActual,Estado
1112769519,0910435668001,8351,8950,8951,1
1112905778,0909807224001,9151,9750,9752,1
1113488407,0910435668001,8951,10950,10955,1
1113488420,0909807224001,9752,11750,11752,1
1114743509,0909807224001,11751,14150,16213,1
1114743498,0910435668001,10951,13350,15023,1
1116279860,0909807224001,14151,16550,16551,1
1116279378,0910435668001,13351,15750,15751,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1116279860,0909807224001,16551,18950,16551,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117632821,0909807224001,16551,18950,18951,1
1117813325,0910435668001,15751,16950,16952,1
1117813325,0910435668001,15751,16950,16952,1
1117813325,0910435668001,15751,16950,16952,1
1118710917,0910435668001,10951,13350,18151,1
1118710917,0910435668001,16951,16950,18151,1
1117813325,0910435668001,15751,16950,16952,1
1117813325,0910435668001,16951,16950,16952,1
1118710917,0910435668001,16951,16950,18151,1
1118710917,0910435668001,16951,18150,18151,1
1119143219,0909807224001,18951,20150,20151,1
1119403971,0910435668001,18151,18750,18751,1
1119998188,0910435668001,18751,21150,21151,1
1119998158,0909807224001,20151,22550,22552,1
1121622896,0909807224001,22551,23050,23051,1
1121760587,0910435668001,21151,21450,21451,1
1122003528,0909807224001,23051,23150,23151,1
1122038407,0910435668001,21451,23850,23851,1
1122039109,0909807224001,23151,25550,25551,1
1123788085,0909807224001,25551,26150,26151,1
1123788083,0910435668001,23851,24450,24451,1
1124202669,0909807224001,26151,27350,27351,1
1124236711,0910435668001,24451,25650,25651,1
1125021375,0909807224001,27351,28550,28551,1
1125150822,0910435668001,25651,26850,26851,1
1125150822,0910435668001,25651,26850,26851,1
1125150822,0910435668001,25651,26850,26851,1
1125150822,0910435668001,25651,26850,26851,1
1125763503,0909807224001,28551,29150,29151,1
1126008904,0910435668001,26851,27450,27451,1
1126008905,0909807224001,29151,29550,29590,1
1126407130,0910435668001,27451,28450,28451,1
1126407148,0909807224001,29590,30350,30351,1
1127326797,0909807224001,30351,30950,30951,1
1127471302,0910435668001,28451,29050,29051,1
1127891950,0910435668001,29051,30250,30251,1
1127891950,0910435668001,29051,30250,30251,1
1127893021,0909807224001,30951,32150,32151,1
1128864228,0910435668001,30251,31450,31451,1
1128865781,0909807224001,32151,33350,33351,1
1129910264,0909807224001,33351,33950,33951,1
1129910264,0909807224001,33351,33950,33951,1
1129910676,0910435668001,31451,32050,32051,1
1130359596,0910435668001,32051,32650,32651,1
1130503926,0909807224001,33951,999999,39357,0
1130705549,0910435668001,32651,33050,37944,1
1130705549,0910435668001,32651,33050,37944,1
1130705549,0910435668001,32651,999999,37944,0
