iIdBodega,iIdTipoMov,iIdMovimiento,iIdproducto,dCantidad,iIdBodegaSolicita,dCantidadAprobada,StockActual
1,1,1,1,1.0000,5,1.0000,0.00
1,1,1,7,2.0000,6,1.0000,1.00
1,1,3,2,6.0000,6,6.0000,44.00
1,1,3,3,4.0000,6,4.0000,21.00
1,1,3,6,5.0000,6,5.0000,95.00
1,1,4,2,6.0000,6,6.0000,32.00
1,1,4,5,5.0000,6,5.0000,13.00
1,1,5,6,5.0000,6,5.0000,90.00
1,1,7,2,6.0000,6,6.0000,0.00
1,1,7,3,4.0000,6,4.0000,0.00
1,1,9,2,4.0000,6,4.0000,28.00
1,1,9,3,4.0000,6,4.0000,13.00
1,1,2,1,1.0000,5,1.0000,1.00
1,1,10,2,6.0000,6,6.0000,22.00
1,1,11,5,5.0000,6,5.0000,8.00
1,1,11,8,1.0000,6,1.0000,0.00
1,1,11,2,6.0000,6,6.0000,16.00
1,1,11,3,1.0000,6,1.0000,12.00
1,1,12,3,3.0000,6,3.0000,9.00
1,1,12,5,5.0000,6,5.0000,3.00
1,1,13,6,6.0000,6,6.0000,84.00
1,1,14,2,6.0000,6,6.0000,10.00
1,1,14,3,6.0000,6,6.0000,3.00
1,1,1,5,3.0000,1,3.0000,0.00
1,1,1,27,1.0000,1,1.0000,0.00
1,1,1,29,1.0000,1,1.0000,0.00
1,1,3,1,1.0000,5,1.0000,1.00
1,1,3,10,1.0000,5,1.0000,3.00
1,1,17,42,1.0000,6,1.0000,2.00
1,1,17,46,1.0000,6,1.0000,1.00
1,1,17,44,1.0000,6,1.0000,1.00
1,1,18,4,6.0000,6,6.0000,19.00
1,1,19,21,2.0000,6,2.0000,3.00
1,1,20,5,3.0000,6,3.0000,0.00
1,1,21,25,1.0000,6,1.0000,9.00
1,1,21,53,1.0000,6,1.0000,1.00
1,1,22,2,6.0000,6,6.0000,19.00
1,1,22,14,2.0000,6,2.0000,13.00
1,1,22,59,1.0000,6,1.0000,1.00
1,1,24,7,1.0000,6,1.0000,7.00
1,1,25,4,6.0000,6,6.0000,9.00
1,1,25,3,4.0000,6,4.0000,15.00
1,1,25,37,5.0000,6,5.0000,0.00
1,1,25,6,10.0000,6,10.0000,68.00
1,1,27,51,5.0000,6,5.0000,39.00
1,1,4,1,1.0000,5,1.0000,0.00
1,1,28,2,6.0000,6,6.0000,7.00
1,1,30,7,1.0000,6,1.0000,6.00
1,1,31,66,1.0000,6,1.0000,0.00
1,1,31,2,6.0000,6,6.0000,1.00
