iIdEmpresa,iIdBodega,iIdproducto ,dCantidad
1,1,1,0.0000
1,5,1,13.0000
1,1,5,0.0000
1,1,4,20.0000
1,1,2,50.0000
1,1,6,0.0000
1,1,7,5.0000
1,6,7,155.0000
1,6,5,30.0000
1,6,2,1731.0000
1,6,3,2040.0000
1,6,6,140.0000
1,1,8,0.0000
1,1,10,0.0000
1,6,8,7.0000
1,1,28,0.0000
1,1,29,0.0000
1,1,27,0.0000
1,1,23,4.0000
1,1,24,1.0000
1,1,25,5.0000
1,1,26,0.0000
1,1,37,0.0000
1,1,31,0.0000
1,1,32,0.0000
1,1,33,0.0000
1,1,34,3.0000
1,1,36,10.0000
1,1,18,3.0000
1,1,19,0.0000
1,1,20,1.0000
1,1,21,0.0000
1,1,11,0.0000
1,1,12,0.0000
1,1,16,1.0000
1,1,15,5.0000
1,1,39,1.0000
1,1,42,0.0000
1,1,46,5.0000
1,1,41,12.0000
1,1,43,0.0000
1,1,45,0.0000
1,1,47,0.0000
1,6,41,122.0000
1,5,10,17.0000
1,6,44,2.0000
1,6,46,19.0000
1,1,49,1.0000
1,1,51,32.0000
1,6,4,828.0000
1,6,11,4.0000
1,6,13,4.0000
1,6,38,5.0000
1,6,39,5.0000
1,6,15,5.0000
1,6,50,5.0000
1,6,37,162.0000
1,6,51,2504.0000
1,6,21,5.0000
1,6,26,4.0000
1,6,28,12.0000
1,6,33,7.0000
1,6,34,8.0000
1,1,52,4.0000
1,1,53,0.0000
1,1,54,0.0000
1,1,55,0.0000
1,1,58,6.0000
1,6,53,3.0000
1,6,54,3.0000
1,6,18,10.0000
1,6,20,11.0000
1,6,32,7.0000
1,6,49,5.0000
1,6,56,3.0000
1,1,60,4.0000
1,1,62,12.0000
1,1,63,7.0000
1,1,64,10.0000
1,1,65,10.0000
1,1,59,0.0000
1,1,57,0.0000
1,6,12,8.0000
1,6,59,4.0000
1,6,29,48.0000
1,6,52,122.0000
1,6,27,28.0000
1,6,30,10.0000
1,1,66,0.0000
1,6,66,2.0000
1,6,57,3.0000
1,6,17,46.0000
1,6,47,38.0000
1,1,68,0.0000
1,7,51,30.0000
1,1,69,0.0000
1,1,75,2.0000
1,1,73,0.0000
1,1,72,0.0000
1,1,71,0.0000
1,6,63,4.0000
1,6,71,3.0000
1,6,73,1.0000
1,6,75,3.0000
1,6,68,11.0000
1,6,69,7.0000
1,6,19,2.0000
1,1,76,0.0000
1,1,77,0.0000
1,1,78,0.0000
1,1,80,0.0000
1,1,81,0.0000
1,1,82,0.0000
1,1,84,0.0000
1,1,88,0.0000
1,1,90,0.0000
1,1,92,0.0000
1,1,93,0.0000
1,1,94,0.0000
1,1,83,0.0000
1,1,85,0.0000
1,1,86,0.0000
1,1,87,0.0000
1,1,89,0.0000
1,1,91,0.0000
1,1,97,0.0000
1,1,102,0.0000
1,1,98,0.0000
1,1,99,0.0000
1,1,101,0.0000
1,1,103,0.0000
1,1,105,0.0000
1,6,81,3.0000
1,6,82,3.0000
1,6,92,9.0000
1,6,94,9.0000
1,6,96,3.0000
1,6,97,2.0000
1,6,102,1.0000
1,6,86,8.0000
1,6,89,2.0000
1,6,95,9.0000
1,6,98,3.0000
1,6,100,3.0000
1,6,101,3.0000
1,6,103,2.0000
1,6,104,2.0000
1,6,105,4.0000
1,1,106,0.0000
1,1,107,0.0000
1,1,109,0.0000
1,1,110,0.0000
1,6,112,4.0000
1,6,114,1.0000
1,6,111,27.0000
1,1,115,0.0000
1,1,116,0.0000
1,6,36,14.0000
1,4,115,10.0000
1,4,116,1.0000
1,1,117,0.0000
1,3,117,266.0000
1,3,115,353.0000
1,1,118,4.0000
1,6,119,34.0000
1,3,110,277.0000
1,3,109,113.0000
1,1,122,8.0000
1,1,121,12.0000
1,6,121,177.0000
1,3,122,287.0000
1,1,120,0.0000
1,1,123,0.0000
1,1,124,0.0000
1,6,123,1.0000
1,6,120,34.0000
1,3,116,16.0000
1,1,125,0.0000
1,3,125,2.0000
1,6,126,34.0000
1,1,129,0.0000
1,6,129,1.0000
1,1,130,0.0000
1,6,130,16.0000
1,6,127,1.0000
1,1,131,0.0000
1,5,46,77.0000
1,1,136,7.0000
1,1,137,0.0000
1,1,139,0.0000
1,1,140,0.0000
1,6,122,161.0000
1,6,136,44.0000
1,6,138,16.0000
1,1,143,0.0000
1,6,143,21.0000
1,6,9,6.0000
1,1,144,0.0000
1,6,108,5.0000
1,6,146,2.0000
1,6,147,1.0000
1,6,137,1.0000
1,6,139,4.0000
1,5,148,9.0000
1,1,149,0.0000
1,6,149,36.0000
1,5,152,4.0000
1,3,145,5.0000
1,1,154,3.0000
1,1,156,0.0000
1,1,157,0.0000
1,6,70,2.0000
1,6,156,1.0000
1,1,159,0.0000
1,6,131,15.0000
1,6,35,5.0000
1,3,136,81.0000
1,5,153,1.0000
1,3,138,9.0000
1,6,134,3.0000
1,1,160,0.0000
1,3,159,5.0000
1,6,161,660.0000
1,6,160,345.0000
1,1,163,0.0000
1,3,163,1.0000
1,1,164,0.0000
1,6,164,14.0000
1,3,106,3.0000
1,6,159,1.0000
1,3,142,4.0000
1,6,166,5.0000
1,6,165,21.0000
1,1,169,0.0000
1,6,169,4.0000
1,3,42,10.0000
1,3,170,150.0000
1,1,182,0.0000
1,3,179,13.0000
1,1,185,39.0000
1,1,186,0.0000
1,6,188,19.0000
1,6,179,21.0000
1,3,160,7.0000
1,6,45,6.0000
1,6,191,6.0000
1,1,192,0.0000
1,5,179,10.0000
1,5,184,50.0000
1,5,130,5.0000
1,1,194,0.0000
1,6,132,8.0000
1,6,157,2.0000
1,6,193,12.0000
1,6,178,1.0000
1,3,187,47.0000
1,5,172,6171.0000
1,1,3,44.0000
1,1,9,0.0000
1,1,30,0.0000
1,1,35,5.0000
1,1,17,7.0000
1,1,22,0.0000
1,1,13,16.0000
1,1,14,0.0000
1,1,38,1.0000
1,1,40,0.0000
1,1,44,0.0000
1,1,48,0.0000
1,6,42,15.0000
1,1,50,0.0000
1,6,14,58.0000
1,6,22,16.0000
1,6,24,5.0000
1,1,56,0.0000
1,6,55,3.0000
1,6,58,17.0000
1,6,23,7.0000
1,6,25,6.0000
1,6,31,7.0000
1,1,61,3.0000
1,1,74,0.0000
1,1,70,0.0000
1,6,74,1.0000
1,6,72,1.0000
1,1,79,0.0000
1,5,79,4.0000
1,6,76,2.0000
1,6,77,1.0000
1,1,95,0.0000
1,1,96,0.0000
1,1,100,0.0000
1,1,104,0.0000
1,6,84,3.0000
1,6,88,3.0000
1,6,90,1.0000
1,6,93,8.0000
1,6,83,3.0000
1,6,85,3.0000
1,6,87,3.0000
1,6,91,1.0000
1,6,99,2.0000
1,1,108,0.0000
1,6,106,5.0000
1,6,107,1.0000
1,6,43,4.0000
1,1,112,3.0000
1,1,113,0.0000
1,1,114,1.0000
1,6,113,4.0000
1,6,109,11.0000
1,6,110,11.0000
1,1,111,0.0000
1,1,119,27.0000
1,1,126,1.0000
1,1,127,0.0000
1,1,132,4.0000
1,1,134,3.0000
1,1,135,0.0000
1,1,133,11.0000
1,1,141,0.0000
1,1,142,0.0000
1,1,138,0.0000
1,6,141,51.0000
1,6,142,77.0000
1,6,144,3.0000
1,1,145,0.0000
1,1,146,0.0000
1,1,147,0.0000
1,1,148,0.0000
1,1,150,0.0000
1,1,151,0.0000
1,5,136,13.0000
1,6,150,39.0000
1,6,151,3.0000
1,1,152,0.0000
1,1,153,0.0000
