iIdBodegaSolicita,iIdMovimiento,iIdproducto,dCantidad,dCantidadAprobada,iIdProveedor,dValorUnitario,cEstado,bEstado,StockActual,NumFactura
1,1,1,1.0000,1.0000,2,40.3200,E,1,1.00,004-001-0080642
1,2,3,25.0000,25.0000,6,1.0100,E,1,25.00,002-001-0044551
1,2,4,25.0000,25.0000,2,0.9100,E,1,25.00,004-001-0081441
1,2,6,100.0000,100.0000,4,0.3900,E,1,100.00,001-001-0056593
1,3,7,2.0000,2.0000,93,0.5000,E,1,2.00,002-001-28082
1,4,8,1.0000,1.0000,4,11.2000,E,1,1.00,001-001-0058086
1,5,10,2.0000,2.0000,8,70.0000,E,1,2.00,002-001-0106633
1,6,1,2.0000,2.0000,2,40.3200,E,1,2.00,004-001-0084531
1,7,10,2.0000,2.0000,4,60.6600,E,1,4.00,001-001-0061575
1,8,8,1.0000,1.0000,2,8.9300,E,1,1.00,004-001-0086797
1,8,11,1.0000,1.0000,2,6.2900,E,1,1.00,004-001-0086797
1,8,5,30.0000,0.0000,2,0.0000,E,1,3.00,004-001-0086797
1,12,35,10.0000,10.0000,6,0.8400,E,1,10.00,002-001-0047230
1,13,38,5.0000,5.0000,1,0.7300,E,1,5.00,001-001-0209065
1,14,43,6.0000,6.0000,22,0.5100,E,1,6.00,076-022-0032907
1,14,46,2.0000,2.0000,22,1.1900,E,1,2.00,076-022-0032907
1,15,47,10.0000,10.0000,4,1.0300,E,1,10.00,001-001-0062295
1,17,51,30.0000,30.0000,4,0.9000,E,1,30.00,001-001-0062969
1,18,41,2.0000,2.0000,22,2.0900,E,1,3.00,076-048-50567
1,19,31,6.0000,6.0000,6,5.7700,E,1,6.00,002-001-0047957
1,19,26,1.0000,1.0000,1,2.9700,E,1,1.00,001-001-0212052
1,19,53,5.0000,2.0000,1,31.0200,E,1,2.00,001-001-0212052
1,24,60,5.0000,5.0000,35,0.4500,E,1,5.00,001-001-000024027
1,25,1,1.0000,1.0000,2,40.3200,E,1,1.00,004-001-00918027
1,26,66,1.0000,1.0000,53,8.9600,E,1,1.00,23122010
1,27,52,2.0000,2.0000,22,3.9900,E,1,2.00,076-043-00019472
1,28,69,1.0000,1.0000,53,2.1200,E,1,1.00,19012011
