iIdConsultorio,CodReferencia,iidproducto,Cantidad,CantidadUsada
2,964,1590,0,0
6,108,691,0,0
4,382,1099,0,0
16,431,88,0,0
16,561,1628,4,4
3,635,928,22,10
19,165,870,27,17
7,210,716,0,0
4,322,1036,0,0
16,452,1024,0,0
3,326,1094,0,0
4,895,120,29,11
2,629,70,0,0
3,629,1406,309,292
6,882,1023,61,59
5,597,1104,20,8
4,176,661,377,26
2,929,923,2,2
7,281,72,0,0
6,810,565,0,0
2,969,1006,0,0
2,951,7,6,6
4,809,1056,131,35
6,719,24,0,0
3,424,1137,0,0
9,478,663,0,0
5,561,1270,0,0
3,819,138,286,80
11,392,109,0,0
4,895,1139,4,4
16,349,586,0,0
2,662,90,0,0
3,663,1220,0,0
6,605,107,0,0
5,521,42,7,3
3,484,762,0,0
4,905,1451,2,6
16,569,45,0,0
2,8,173,760,118
3,830,533,0,0
2,670,926,63,42
2,888,156,418,23
5,597,1018,0,0
4,905,535,0,0
5,779,102,0,0
3,375,493,134,12
5,355,1101,0,0
2,640,1092,0,0
9,161,56,0,0
16,193,689,134,137
6,167,110,0,0
3,873,118,0,0
4,905,1783,26,26
5,866,497,0,0
4,641,14,670,1
2,810,717,0,0
2,805,488,675,69
4,707,1096,28,5
19,37,20,0,0
16,415,85,312,23
5,868,540,0,0
18,130,1283,6,6
3,848,15,3,5
6,144,754,0,0
3,403,785,0,0
16,193,1021,2608,464
2,502,1195,0,0
16,614,1479,25,40
4,617,34,0,0
3,611,639,0,0
6,352,1066,0,0
3,248,633,0,0
2,190,920,0,0
3,865,716,7,10
4,602,624,175,9
16,476,1104,19,8
3,860,487,0,0
4,905,1477,0,0
3,876,1569,0,0
16,219,42,1,2
5,341,586,0,0
4,720,20,2,8
16,347,1270,16,1
5,789,45,12,10
4,895,103,43,62
3,825,72,18,32
19,159,1783,120,41
5,859,1628,0,0
1,26,1104,0,0
2,920,794,0,0
2,938,1564,0,0
4,6,498,0,0
2,963,24,2,2
11,386,959,0,0
3,15,155,671,675
2,643,565,0,0
19,165,535,39,18
2,741,107,0,0
5,373,1024,0,0
1,16,1270,0,0
2,237,960,0,0
18,147,1569,16,12
2,963,714,0,0
3,508,1280,0,0
19,165,1451,9,18
16,614,540,0,0
3,596,510,0,0
2,323,1026,0,0
5,695,85,0,0
4,735,1288,713,26
2,316,110,31,7
16,420,1018,0,0
16,425,1476,0,0
1,19,497,0,0
5,425,1021,3521,437
5,859,1479,0,0
11,94,793,0,0
14,16,1000,0,0
3,808,719,0,0
2,404,588,0,0
16,611,102,850,1495
3,867,490,0,0
16,415,1101,0,0
19,139,120,23,20
