iidGarantia,iidDetalle
83390,47528
86854,78613
86855,78617
86856,78621
86906,10659
86907,11492
86908,11493
86909,11494
87285,80077
87389,49280
87390,49279
87391,49283
87392,49282
87393,49286
87394,49285
87665,60902
87666,60901
87667,60904
87668,60903
88004,80090
88005,80089
88572,88570
88573,87060
88574,87061
88575,87062
89383,75118
89509,75411
89510,75412
89666,69246
90890,7878
90891,8082
90892,8090
91075,78959
91417,75269
91418,75270
91419,75271
91655,68271
91656,67941
91657,68302
91658,68301
91659,68304
91660,68303
91678,88145
91679,88147
91680,89034
94057,42535
94058,42536
95764,40672
95765,40673
95766,40674
96423,8182
96424,8364
96425,8365
96855,42901
96856,42902
96857,42904
97422,56022
97423,56024
97424,56026
97603,51006
97604,51005
97605,51008
97606,51007
97607,51010
97608,51009
97963,91400
97964,91401
97965,91402
97966,91403
99199,34650
107552,42594
107553,42598
107554,42603
109092,106843
109158,107121
114368,95327
114657,101502
114693,114657
114842,79220
114843,79222
115433,60834
115434,60835
116397,58939
116398,58940
117710,117606
117805,76415
117818,99290
117819,99291
117820,99292
121284,121281
121285,121281
121286,121285
121289,121288
121292,121290
121293,121291
121296,121294
121299,121297
121670,117849
122349,115436
122783,122726
123289,122334
124188,123930
125352,123058
125482,123125
125495,125492
125559,115844
125560,115941
125561,116203
125569,116204
125570,116205
125690,125689
125943,113320
126297,126033
126801,125783
126888,121921
127182,116448
127272,68188
127273,68187
127274,68191
127275,68190
127276,68194
127277,68193
127350,38871
127351,38870
128169,125204
128174,109033
128175,109032
128176,109033
128979,126042
129399,120333
129644,129598
129878,128963
130254,129915
130255,129914
130256,129913
130257,129910
130258,129911
130259,129912
130261,129921
130262,129921
130263,129919
130314,129474
131172,120444
131319,120539
131935,129213
132036,129706
132405,129685
132541,125680
132542,125681
132543,125682
132544,125683
132545,125684
133138,132107
133219,105312
133252,126887
133769,133616
133903,133713
133905,133708
133918,133400
133920,133401
133921,133402
133922,133403
133923,133404
133924,133405
133925,133406
133926,133407
133948,133507
134075,132863
134331,98487
134558,134331
134843,134558
134879,134075
134944,134558
135061,134944
135081,133097
135096,127304
135393,135144
135397,133881
135521,133882
135522,133883
135586,134017
135634,130295
135786,134637
135834,23878
135844,117709
135847,135844
135891,132041
135892,132042
136263,124010
136312,124492
136316,119010
136317,119015
136351,35519
136535,123072
136629,74901
136670,110534
136749,129246
136860,35520
136861,136860
137719,66548
137722,38738
137870,86951
137871,86952
137915,86951
137916,86951
137996,134092
138240,124834
138241,138240
138306,101725
138308,101430
138309,101431
138374,138369
138387,84016
138737,11919
138739,11920
139076,136963
139077,136964
139078,136965
139079,136966
139152,37239
139153,37240
139739,136801
139740,136053
139741,136800
139742,136410
139932,135786
139933,139932
139994,137864
139995,135847
139996,139995
140260,126165
140261,140182
140310,139996
140336,126165
140337,126236
140342,137167
140601,127523
140656,30394
140689,136811
140805,30394
140808,128538
140829,120746
140853,105136
140854,140853
140858,105137
140859,140858
140929,129422
140958,137722
141019,105138
141020,141019
141206,96511
141371,140465
141501,139326
141546,141543
141566,70495
141663,91937
141874,84153
141909,99862
141910,99865
141983,96045
141985,141983
142308,140225
142434,136077
142544,94844
142607,131084
142620,142408
142824,140245
142965,65274
143117,142702
143742,121007
143904,90892
143918,143511
144005,140687
144030,142576
144031,142577
144091,142189
144211,126284
144333,140870
144549,79081
144586,143589
144587,144584
144728,133274
144729,133274
144787,53771
144963,143627
144965,144963
145152,141138
145153,141138
145158,145157
145353,142258
145429,85065
145430,85066
145928,132050
146133,145290
146474,145649
146804,125378
147159,84159
147329,134319
147514,121004
147745,121107
147782,146952
148171,129395
148282,119792
148283,119793
148294,135584
148457,86915
148458,86916
148459,86917
148460,86918
148461,86919
148462,87102
148579,143214
149397,149032
149398,149033
149690,114651
149766,112745
150067,138478
150068,138478
150108,149699
150142,112749
150143,112754
150180,148290
150185,147178
150270,117935
150271,118082
150274,142051
