iIdFormapago,iIdFactura,sIdFormaPago,sidBanco,vReferencia,dValor,dFechaPago,dDescuento
1,1,2,0,Radiografia Panoramica,12,6/18/2010 0:00,0
2,2,2,0,Radiografia Panoramica,12,6/18/2010 0:00,0
3,3,2,0,Radiografia Panoramica,12,6/22/2010 0:00,0
4,4,2,0,2 RX PANORAMICA Y LATERAL DE CRANEO,24,6/23/2010 0:00,0
5,5,2,0,Radiografia Panoramica,12,6/24/2010 0:00,0
6,6,2,0,Radiografia Panoramica,12,6/24/2010 0:00,0
7,7,2,0,Radiografia Panoramica,12,6/24/2010 0:00,0
8,8,2,0,Radiografia Panoramica,12,6/25/2010 0:00,0
9,9,2,0,Radiografia Panoramica,12,6/26/2010 0:00,0
10,10,2,0,Radiografia Panoramica,12,6/26/2010 0:00,0
11,11,2,0,Radiografia Panoramica,12,6/28/2010 0:00,0
12,12,2,0,Radiografia Panoramica,12,6/28/2010 0:00,0
13,13,2,0,Radiografia Panoramica,12,7/1/2010 0:00,0
14,14,3,3,VISA LOTE 1412,24,7/2/2010 0:00,0
15,15,2,0,Radiografia Panoramica,12,7/2/2010 0:00,0
16,16,3,0,Radiografia Panoramica,12,7/3/2010 0:00,0
17,17,3,0,LOTE 1419,24,7/9/2010 0:00,0
18,18,2,0,Radiografia Panoramica y Lateral de Craneo,24,7/6/2010 0:00,0
19,19,2,0,Radiografia Panoramica,12,7/6/2010 0:00,0
20,20,2,0,Radiografia Panoramica,12,7/12/2010 0:00,0
21,21,2,0,Radiografia Panoramica,12,7/12/2010 0:00,0
22,22,2,0,Radiografia Panoramica,12,7/13/2010 0:00,0
23,23,3,0,Radiografia Panoramica,12,7/16/2010 0:00,0
24,24,2,0,Radiografia Panoramica,12,7/13/2010 0:00,0
25,25,2,0,Radiografia Panoramica,12,7/13/2010 0:00,0
26,26,2,0,Radiografia Panoramica,12,7/13/2010 0:00,0
27,27,2,0,Radiografia Panoramica,12,7/13/2010 0:00,0
28,28,2,0,Radiografia Panoramica,12,7/14/2010 0:00,0
29,29,2,0,Radiografia Panoramica,12,7/14/2010 0:00,0
30,30,2,0,Radiografia Panoramica,12,7/15/2010 0:00,0
31,31,2,0,Radiografia Panoramica,12,7/16/2010 0:00,0
32,32,2,0,Radiografia Panoramica,12,7/16/2010 0:00,0
33,33,2,0,Radiografia Panoramica,12,7/16/2010 0:00,0
34,34,2,0,Radiografia Panoramica,12,7/17/2010 0:00,0
35,35,2,0,Radiografia Panoramica y Lateral de Craneo,24,7/17/2010 0:00,0
36,36,2,0,Radiografia Panoramica,12,7/17/2010 0:00,0
37,37,2,0,Radiografia Panoramica,12,7/17/2010 0:00,0
38,38,2,0,Radiografia Panoramica,12,7/19/2010 0:00,0
39,39,2,0,Radiografia Panoramica,12,7/19/2010 0:00,0
40,40,2,0,Radiografia Panoramica,12,7/23/2010 0:00,0
41,41,2,0,Radiografia Panoramica,12,7/23/2010 0:00,0
42,42,2,0,Radiografia Panoramica,12,7/24/2010 0:00,0
43,43,2,0,Radiografia Panoramica,12,7/26/2010 0:00,0
44,44,2,0,Radiografia Panoramica,12,7/26/2010 0:00,0
45,45,2,0,Radiografia Panoramica,12,7/26/2010 0:00,0
46,46,2,0,Radiografia Panoramica,12,7/26/2010 0:00,0
47,47,2,0,Radiografia Panoramica y Lateral de Craneo,24,7/26/2010 0:00,0
48,48,3,0,Radiografia Panoramica,12,7/31/2010 0:00,0
49,49,2,0,Radiografia Panoramica,12,7/28/2010 0:00,0
