iLinea,iIdproducto,dCantidad
1,4,20.0000
2,5,20.0000
3,7,20.0000
4,8,10.0000
5,9,10.0000
6,10,0.0000
7,11,1.0000
8,12,0.0000
9,13,12.0000
10,14,1.0000
11,15,1.0000
12,16,11.0000
13,17,2.0000
14,18,10.0000
15,19,1.0000
16,20,0.0000
17,21,10.0000
18,22,0.0000
19,23,18.0000
20,24,5.0000
21,25,6.0000
22,26,1.0000
23,27,0.0000
24,28,10.0000
25,29,10.0000
26,30,10.0000
27,31,10.0000
28,32,4.0000
29,33,5.0000
30,34,1.0000
31,35,6.0000
32,36,8.0000
33,37,6.0000
34,38,8.0000
35,39,6.0000
36,40,8.0000
37,41,8.0000
38,42,8.0000
39,43,6.0000
40,44,8.0000
41,45,8.0000
42,46,8.0000
43,47,8.0000
44,48,8.0000
45,49,8.0000
46,50,6.0000
47,51,8.0000
48,52,8.0000
49,53,6.0000
50,54,8.0000
51,55,8.0000
52,56,6.0000
53,57,4.0000
54,58,6.0000
55,59,1.0000
56,60,8.0000
57,61,6.0000
58,62,8.0000
59,63,8.0000
60,64,6.0000
61,65,6.0000
62,66,8.0000
63,67,8.0000
64,68,8.0000
65,69,8.0000
66,70,10.0000
67,71,0.0000
68,72,1.0000
69,73,0.0000
70,74,0.0000
71,75,2.0000
72,76,1.0000
73,77,6.0000
74,78,0.0000
75,79,0.0000
76,80,0.0000
77,81,0.0000
78,82,10.0000
79,83,6.0000
80,84,1.0000
81,85,5.0000
82,86,6.0000
83,111,1.0000
84,514,10.0000
85,515,7.0000
86,516,20.0000
87,520,25.0000
88,521,13.0000
89,522,20.0000
90,523,9.0000
91,524,4.0000
92,525,6.0000
93,526,1.0000
94,527,0.0000
95,540,1.0000
96,543,8.0000
97,546,8.0000
98,547,6.0000
99,566,10.0000
100,567,4.0000
101,569,3.0000
102,570,3.0000
103,588,10.0000
104,589,10.0000
105,590,5.0000
106,591,7.0000
107,87,12.0000
108,88,13.0000
109,89,13.0000
110,90,3.0000
111,91,5.0000
112,92,5.0000
113,93,5.0000
114,94,7.0000
115,95,1.0000
116,96,6.0000
117,97,4.0000
118,98,7.0000
119,99,2.0000
120,100,2.0000
121,101,1.0000
122,102,0.0000
123,103,2.0000
124,104,2.0000
125,105,2.0000
126,106,2.0000
127,107,1.0000
128,108,1.0000
129,109,0.0000
130,110,8.0000
131,112,12.0000
132,113,7.0000
133,114,10.0000
134,115,17.0000
135,116,18.0000
136,117,8.0000
137,118,5.0000
138,119,13.0000
139,120,2.0000
140,121,2.0000
141,122,6.0000
142,123,3.0000
143,124,5.0000
144,125,1.0000
145,126,2.0000
146,127,2.0000
147,128,41.0000
148,129,18.0000
149,130,7.0000
150,131,6.0000
151,132,6.0000
152,133,0.0000
153,134,6.0000
154,135,0.0000
155,136,0.0000
156,137,17.0000
157,138,5.0000
158,139,1.0000
159,140,1.0000
160,141,1.0000
161,142,0.0000
162,143,0.0000
163,144,2.0000
164,145,0.0000
165,146,0.0000
166,147,0.0000
167,148,0.0000
168,149,0.0000
169,150,0.0000
170,151,2.0000
171,152,0.0000
172,153,0.0000
173,154,0.0000
174,155,0.0000
175,156,0.0000
176,157,0.0000
177,158,0.0000
178,159,0.0000
179,160,0.0000
180,161,0.0000
181,162,2.0000
182,163,1.0000
183,164,0.0000
184,165,3.0000
185,166,3.0000
186,167,12.0000
187,168,3.0000
188,169,1.0000
189,170,1.0000
190,171,1.0000
191,498,0.0000
192,549,1.0000
193,550,1.0000
194,574,1.0000
195,592,7.0000
196,593,2.0000
197,594,2.0000
198,595,2.0000
199,596,3.0000
200,597,6.0000
201,598,6.0000
202,599,6.0000
203,600,6.0000
204,601,1.0000
205,602,5.0000
206,603,1.0000
207,604,1.0000
208,605,2.0000
209,606,2.0000
210,607,2.0000
211,608,2.0000
212,172,8.0000
213,173,0.0000
214,174,0.0000
215,175,1.0000
216,176,0.0000
217,177,4.0000
218,178,1.0000
219,179,0.0000
220,180,2.0000
221,181,1.0000
222,182,3.0000
223,183,1.0000
224,184,3.0000
225,185,1.0000
226,186,2.0000
227,187,2.0000
228,188,0.0000
229,189,2.0000
230,190,0.0000
231,191,1.0000
232,192,1.0000
233,193,2.0000
