CODIGOTF,TIPOSDEFARMACOS,CODIGOPA,PRINCIPIOSACTIVOS,CARACTERISTICA,CODIGONC,NOMBRESCOMERCIALES,indicacion,POSOLOGIA   
1,ANTINFLAMATORIO,1.1,IBUPROFENO,"Indicaciones:Es un analgésico y antiinflamatorio utilizado para el tratamiento de estados dolorosos, acompañados de inflamación significativa como artritis reumatoide leve y alteraciones musculoesqueléticas (osteoar­tritis, lumbago, bursitis, tendinitis, hombro doloroso, esguinces, ­torceduras, etc.). Se utiliza para el tratamiento del dolor moderado en postoperatorio, en dolor dental, postepisio­to­mía, dismenorrea primaria, dolor de ­cabeza. Contraindicaciones: No se recomieda el uso en mujeres embarazadas o en periodo de lactancia. No se recomienda su uso en menores de 12 años. No se administrará cuando exista sensibilidad conocida a la sustancia o al ácido acetilsalicílico.",1.1.1,BUPREX  FORTE  200 MG SUSPENSION( IBUPROFENO) ,"Analgesico Antipiretico Dolor leves, Moderados: cefaleastraumatismo osteo muscular, dolores pos-quirurgicos en intervenciones leves, alivio de la dismenorrea primaria Contraindicado:Antecedente de hipersensibilidad,acido acetilsalicilico o a agentes antinflamatorios", BUPREX  FORTE 200 MG  5 ML CADA 8 HORAS
1,NULL,1.1,NULL,NULL,1.1.2,BUPREX  FORTE  400 MG SUSPENSION   ( IBUPROFENO),"Analgesico Antipiretico Dolor leves, Moderados: cefaleastraumatismo osteo muscular, dolores pos-quirurgicos en intervenciones leves, alivio de la dismenorrea primaria  Contraindicado: Antecedente de hipersensibilidad,acido acetilsalicilico o a agentes antinflamatorios", BUPREX  FORTE 400 MG  CADA 8 HORAS
1,NULL,1.1,NULL,NULL,1.1.3,BUPREX  FORTE 40 MG GOTAS ( IBUPROFENO),"Analgesico Antipiretico Dolor leves, Moderados",BUPREX FORTE 40 MG 5 ML CADA 8 HORAS
1,NULL,1.1,NULL,NULL,1.1.4,BRUPREX FLASH 200 MG CAPSULA ( IBUPROFENO),"Analgesico, Antipiretico alivio rapido del dolor, fiebres por procesos inflamatorioso infecciosos, cefaleas",BRUPREX FLASH  200 MG CADA 6 HORAS
1,NULL,1.1,NULL,NULL,1.1.5,BRUPREX FLASH 400 MG CAPSULA ( IBUPROFENO),"Analgesico, Antipiretico alivio rapido del dolor, fiebres por procesos inflamatorioso infecciosos, cefaleas",BRUPREX FLASH  400 MG CADA 6 HORAS
1,NULL,1.1,NULL,NULL,1.1.6,BUPREX MIGRA 400 MG COMPRIMIDO( IBUPROFENO + CAFEINA+ ERGOTAMINA),"Antimigrañoso (Ibuprofeno,Cafeina,Ergotamina)", BUPREX MIGRA  400 MG  CADA 8 HORAS
1,NULL,1.1,NULL,NULL,1.1.7,TABALON 200 MG TABLETA ( IBUPROFENO),"Analgesico,Antipiretico dolor,fiebre por infeccion de via respiratoria dolor e infamacion.Contraindicado:Hipersensibilidad,trastonos hematopoyetico,anemias, diabetes",TABALON 200 MG CADA 8 HORAS
1,NULL,1.1,NULL,NULL,1.1.8,TABALON 400 MG TABLETA ( IBUPROFENO),"Analgesico,Antipiretico dolor,fiebre por infeccion de via respiratoria dolor e infamacion.Contraindicado:Hipersensibilidad,trastonos hematopoyetico,anemias, diabetes",TABALON  400 MG CADA 8 HORAS
1,NULL,1.1,NULL,NULL,1.1.9, TENVALIN FORTE 200 MG SUSPENSION ( IBUPROFENO),"Analgesico, Antipiretico Dolor, fiebre contraindicado:ulcera de estomago, asmas. Rinitis.",TENVALIN FORTE 200 MG CADA 8 HORAS
1,NULL,1.2,NAPROXENO,"Indicaciones:Está indicado para el tratamiento de la artritis reumatoide, osteoartritis, espondilitis anquilosante y artritis juvenil. También está indi­cado para el tratamiento de tendinitis, bur­sitis, esguinces y para el manejo del dolor posquirúr­gico. Contraindicaciones:Pacientes que tienen reacciones alérgicas a la prescripción. También está contraindicado en pacientes en quienes el ácido acetilsa­licílico u otros agtes analgésicos antiinfla­matorios no esteroidales inducen el síndrome de asma, rinitis y pólipos nasa­les.",1.2.1,ODONTOGESIC 550 MG TABLETAS (NAPROXENO SODICO),"Alivio del dolor leve, moderado Contraindicado:Pacientes sensibles a los aines, lactancia, embarazos",ODONTOGENESIC 550 MG CADA 12 HORAS
1,NULL,1.2,NULL,NULL,1.2.2,MOMEN 200 MG COMPRIMIDO ( NAPROXENO SODICO),"Cefalea,Contracturas dolor leve-moderado, Dismenorrea, Dolor muscular, Fiebre,Lumbalgias. Odontalgias Contraindicado:Pacientes sensibles a los aines, lactancia, embarazos",MOMEN 200 MG CADA 8 HORAS
1,NULL,1.2,NULL,NULL,1.2.3,APRONAX 275 MG TABLETAS (NAPROXENO SODICO),"Analgésico, antipirético. dolor causado por inflamación y la fiebre. Útil en el dolor de cabeza, de muela, menstrual, de garganta, muscular, de espalda y de articulaciones Contraindicado:broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico, reacciones alérgicas al Acido Acetilsalicílico o AINES, ulcera péptica, disfunción hepática severa, embarazos y lactancia.",APRONAX 275 MG CADA 8 HORAS
1,NULL,1.2,NULL,NULL,1.2.4,APRONAX 550 MG TABLETAS (NAPROXENO SODICO),"Analgésico, antipirético. dolor causado por inflamación y la fiebre. Útil en el dolor de cabeza, de muela, menstrual, de garganta, muscular, de espalda y de articulaciones Contraindicado:broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico, reacciones alérgicas al Acido Acetilsalicílico o AINES, ulcera péptica, disfunción hepática severa, embarazos y lactancia.",APRONAX 550 MG  CADA 12 HORAS
1,NULL,1.2,NULL,NULL,1.2.5,APRONAX 125 MG SUSPENSION (NAPROXENO SODICO),"Analgésico, antipirético. dolor causado por inflamación y la fiebre. Útil en el dolor de cabeza, de muela, menstrual, de garganta, muscular, de espalda y de articulaciones Contraindicado:broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico, reacciones alérgicas al Acido Acetilsalicílico o AINES, ulcera péptica, disfunción hepática severa, embarazos y lactancia.",APRONAX 125 MG  CADA 8 HORAS
1,NULL,1.2,NULL,NULL,1.2.6,DOLONEX  275 MG TABLETA (NAPROXENO SODICO),"Alivio de dolor leve a moderado y la fiebre artritis reumatoidea, osteoartritis, espondilitis anquilosante, artritis juvenil y otras afecciones reumáticas.fracturas, esguinces, luxaciones, tendinitis, bursitis y otras condiciones de orígen traumático. Dolor postquirúrgico.Dismenorrea (cólico menstrual).Tratamiento y prevención de la migraña.Cólico renal, cólico biliar, gota.Dolores dentales.Contraindicado:Pacientes sensibles a los aines, lactancia, embarazos",DOLONEX  275 MG CADA 8 HORAS
1,NULL,1.2,NULL,NULL,1.2.7,DOLONEX  550 MG TABLETA (NAPROXENO SODICO),"Alivio de dolor leve a moderado y la fiebre artritis reumatoidea, osteoartritis, espondilitis anquilosante, artritis juvenil y otras afecciones reumáticas.fracturas, esguinces, luxaciones, tendinitis, bursitis y otras condiciones de orígen traumático. Dolor postquirúrgico.Dismenorrea (cólico menstrual).Tratamiento y prevención de la migraña.Cólico renal, cólico biliar, gota.Dolores dentales.Contraindicado:Pacientes sensibles a los aines, lactancia, embarazos",DOLONEX  550 MG CADA 12 HORAS
