CodFarmaco,CodPActivo,CodNComercial,Descripcion,Indicacion,Posologia,Contraindicaciones
1,1.1,1.1.1,BUPREX  FORTE  200 MG SUSPENSION( IBUPROFENO),"Analgesico Antipiretico Dolor leves, Moderados: cefaleastraumatismo osteo muscular, dolores pos-quirurgicos en intervenciones leves, alivio de la dismenorrea primaria Contraindicado:Antecedente de hipersensibilidad,acido acetilsalicilico o a agentes antinflamatorios",,
1,1.1,1.1.10,PROFINAL FLASH Cápsula blanda 200 mg,"via oral artritis reumatoide incluyendo artritis reumatoide juvenil, espondilitis anquilopoyetica, artrosis y otros procesos reumaticos agudos o cronicos.",,"Hipersensibilidad a ibuprofeno o a otros AINE; historial de broncoespasmo, asma, rinitis, angioedema o urticaria asociada con el consumo de AAS u otros AINEs; antecedentes de hemorragia gastrointestinal"
1,1.1,1.1.11,PROFINAL FLASH Cápsula blanda 400 mg,"Vía oral artritis reumatoide (incluyendo artritis reumatoide juvenil), espondilitis anquilopoyetica, artrosis y otros procesos reumáticos agudos o cronicos.",,"Hipersensibilidad a ibuprofeno o a otros AINE; historial de broncoespasmo, asma, rinitis, angioedema o urticaria asociada con el consumo de AAS u otros AINEs; antecedentes de hemorragia gastrointestinal"
1,1.1,1.1.12,PROFINAL CAPSULA BLANDA 600MG,"Vía oral artritis reumatoide (incluyendo artritis reumatoide juvenil), espondilitis anquilopoyetica, artrosis y otros procesos reumáticos agudos o cronicos",,"Hipersensibilidad a ibuprofeno o a otros AINE; historial de broncoespasmo, asma, rinitis, angioedema o urticaria asociada con el consumo de AAS u otros AINEs; antecedentes de hemorragia gastrointestinal"
1,1.1,1.1.13,PROFINAL TABLETAS DE 800MG,Esta indicado en tratamiento de diversas enfermedades dolorosas e inflamatoriasreumaticas y no reumaticas como dolor de cabeza de origen vascular dolor y tension premenstrual reducir la fiebre,,Hipersensibilidad al Ibuprofenom historial de asma rinitis angioedema o urticaria antecedentes de hemorragia gastrintestinal ulcera peptica
1,1.1,1.1.14,PROFINAL FORTE SUSPENSION 120 ML,Para el tratamiento de artritis artrosis y otros procesos reumaticos agudos cronicos lesiones de tejidos blandos esginse y torceduras aliva el dolor leve y moderado,,Hipersensibilidad conocida al Ibuprofeno pacientes que hayan experimentado crisis de asma rinitis aguda urticaria edema angioneurotico u otras reacciones alergicas
1,1.1,1.1.15,BUPREX FLASH 600MG CAPSULAS BLANDAS,Alteraciones musculoesqueleticas y traumaticas con dolor e inflamacion Tto sintomatico del dolor leve o moderado dolor de origen dental dolor posquirúrgico dolor de cabeza migraña Dismenorrea primaria,,Hipersensibilidad a ibuprofeno o a otros AINE historial de broncoespasmo asma rinitis angioedema o urticaria asociada con el consumo de AAS u otros AINEs antecedentes de hemorragia gastrointestinal o perforacion relacionados con tos
1,1.1,1.1.16,PROFINAL FLASH 600MG CAPSULAS,Esta indicado para el alivio rapido del dolor y de la fiebre que se presentan en procesos inflamatorios o infecciosos de cualquier naturaleza,,Hipersensibilidad a ibuprofeno o a otros AINE historial de broncoespasmo asma rinitis angioedema o urticaria asociada con el consumo de AAS u otros AINEs antecedentes de hemorragia gastrointestinal o perforacion relacionados con tos
1,1.1,1.1.2,BUPREX  FORTE  400 MG SUSPENSION   ( IBUPROFENO),"Analgesico Antipiretico Dolor leves, Moderados: cefaleastraumatismo osteo muscular, dolores pos-quirurgicos en intervenciones leves, alivio de la dismenorrea primaria  Contraindicado: Antecedente de hipersensibilidad,acido acetilsalicilico o a agentes antinflamatorios",,
1,1.1,1.1.3,BUPREX  FORTE 40 MG GOTAS ( IBUPROFENO),"Analgesico Antipiretico Dolor leves, Moderados",,
1,1.1,1.1.4,BRUPREX FLASH 200 MG CAPSULA ( IBUPROFENO),"Analgesico, Antipiretico alivio rapido del dolor, fiebres por procesos inflamatorioso infecciosos, cefaleas",,
1,1.1,1.1.5,BRUPREX FLASH 400 MG CAPSULA ( IBUPROFENO),"Analgesico, Antipiretico alivio rapido del dolor, fiebres por procesos inflamatorioso infecciosos, cefaleas",,
1,1.1,1.1.6,BUPREX MIGRA 400 MG COMPRIMIDO( IBUPROFENO + CAFEINA+ ERGOTAMINA),"Antimigrañoso (Ibuprofeno,Cafeina,Ergotamina)",,
1,1.1,1.1.7,TABALON 200 MG TABLETA ( IBUPROFENO),"Analgesico,Antipiretico dolor,fiebre por infeccion de via respiratoria dolor e infamacion.Contraindicado:Hipersensibilidad,trastonos hematopoyetico,anemias, diabetes",,
1,1.1,1.1.8,TABALON 400 MG TABLETA ( IBUPROFENO),"Analgesico,Antipiretico dolor,fiebre por infeccion de via respiratoria dolor e infamacion.Contraindicado:Hipersensibilidad,trastonos hematopoyetico,anemias, diabetes",,
1,1.1,1.1.9,TENVALIN FORTE 200 MG SUSPENSION ( IBUPROFENO),"Analgesico, Antipiretico Dolor, fiebre contraindicado:ulcera de estomago, asmas. Rinitis.",,
