CodFarmaco,CodPActivo,Descripcion,Caracteristica
1,1.1,IBUPROFENO,"Indicaciones:Es un analgésico y antiinflamatorio utilizado para el tratamiento de estados dolorosos, acompañados de inflamación significativa como artritis reumatoide leve y alteraciones musculoesqueléticas (osteoar­tritis, lumbago, bursitis, tendinitis, hombro doloroso, esguinces, ­torceduras, etc.). Se utiliza para el tratamiento del dolor moderado en postoperatorio, en dolor dental, postepisio­to­mía, dismenorrea primaria, dolor de ­cabeza. Contraindicaciones: No se recomieda el uso en mujeres embarazadas o en periodo de lactancia. No se recomienda su uso en menores de 12 años. No se administrará cuando exista sensibilidad conocida a la sustancia o al ácido acetilsalicílico."
1,1.10,KETOROLACO,"Indicaciones:Tratamiento a corto plazo del dolor leve a moderado en el postoperatorio y en traumatismos musculosqueléticos; dolor causado por el cólico nefrítico.Contraindicaciones: Pacientes con úlcera gastro­duodenal activa, hemorragia digestiva reciente o antece­den­tes de úlcera gastroduodenal o hemorragia digestiva, pacientes con insuficiencia renal moderada o grave y en los pacientes con riesgo de insuficiencia renal por hipovolemia o deshidratación, durante el parto, en pacientes con hiper­sensibilidad demostrada al Ketorolaco u otros AINEs, así como en pacientes con antecedentes de alergia al ácido acetilsalicílico u otros inhibidores de la sínte­sis de prosta­glandinas pues se han descrito reacciones anafilactoides graves en estos pacientes."
1,1.11,MELOXICAN ,"Indicaciones:Osteoartritis, dolor e inflamación a consecuencia de traumatismos y gota,Artritis reumatoide.Periartritis de las articulaciones escapulohumeral y coxofemoral.Distensiones musculares.Procesos inflamatorios en tejidos blandos en vías respiratorias y en ginecología, por ejemplo, dismenorrea primaria.Contraindicaciones: Hipersensibilidad al principio activo o a cualquiera de los componentes del producto. Tampoco deberá administrarse en pacientes que tenganantecedentes de hipersensibilidad a los AINEs, lo cual se puede manifestar con ataques de asma, angioedema o urticaria.Su uso durante el embarazo y la lactancia está contraindicado"
1,1.12,CELECOXIB,"Indicaciones:Alivio sintomático en el tto. de artrosis, artritis reumatoide y espondilitis anquilosante.Contraindicaciones:Hipersensibilidad al celecoxib, a las sulfamidas; ulceración péptica activa o hemorragia gastrointestinal; pacientes que hayan experimentado asma, rinitis aguda, pólipos nasales, edema angioneurótico, urticaria u otras reacciones de tipo alérgico "
1,1.13,PIROXICAM,"Indicaciones:indicado para el uso agudo o crónico en el alivio de los signos y síntomas de osteoartritis y artritis reumatoidea, espondilitis anquilosante y artritis reumatoidea juvenil, bursitis, capsulitis, tendinitis, miosi­tis, lumbalgia, ciática, hombro-doloroso, cervicalgias, sinovitis, dolor postraumático, dismenorrea primaria, ataques agudos de gota."
1,1.14,NIMESULIDA,"Indicaciones:indicado para el uso agudo o crónico en el alivio de los signos y síntomas de osteoartritis y artritis reumatoidea, espondilitis anquilosante y artritis reumatoidea juvenil, bursitis, capsulitis, tendinitis, miosi­tis, lumbalgia, ciática, hombro-doloroso, cervicalgias, sinovitis, dolor postraumático, dismenorrea primaria, ataques agudos de gota. Contraindicaciones: Hipersensibilidad al PIROXICAM o algún otro AINE, inclu­yendo ácido ­acetilsalicílico.Individuos con síndrome de broncospasmo, pólipos nasa­les, rinitis, angioedema precipitado por ácido acetilsa­licílico u otro antiinflamatorio no esteroideo.Enfermedad ulcerosa acidopéptica gástrica y/o duodenal.Gota crónica. Insuficiencia hepática y/o renal."
1,1.15,FUROATO DE MOMETASONA,El furoato de mometasona es un fármaco glucocorticoide y actúa como antiinflamatorio y antiprurítico en afecciones de la piel o de las vías respiratorias según su distribución. La vía de administración para rinitis alérgica es por pulverización nasal
1,1.16,TRAMADOL,El tramadol es un analgésico opioide que alivia el dolor actuando sobre células nerviosas específicas de la médula espinal y del cerebro. Su comportamiento es igual al comparado con otros opioides del tipo de la morfina
1,1.17,BUPRENORFINA,La buprenorfina es un fármaco del grupo de los opioides. Útil para el tratamiento de la adicción a otros opioides como la morfina y la heroína de manera similar al tratamiento con metadona.
1,1.18,ACETAMINOFEN,SEVEDOL
