iiddocument,taxidemisor,tipo_doc,Talonario,NumFactura,documentno,tosend,fecha_emision,taxidreceptor
125,9.09807E+11,1,1130503926,34152,001-002-000000001,N,NULL,NULL
126,9.09807E+11,1,1130503926,34153,001-002-000000002,N,NULL,NULL
127,9.10436E+11,1,1130705549,32663,001-002-000000001,N,NULL,NULL
128,9.10436E+11,1,1130705549,32663,001-002-000000001,N,NULL,NULL
129,9.10436E+11,1,1130705549,32663,001-002-000000001,N,NULL,NULL
130,9.09807E+11,1,1130503926,34154,001-002-000000003,N,NULL,NULL
131,9.09807E+11,1,1130503926,34155,001-002-000000004,N,NULL,NULL
132,9.10436E+11,1,1130705549,32664,001-002-000000002,N,NULL,NULL
133,9.10436E+11,1,1130705549,32664,001-002-000000002,N,NULL,NULL
134,9.10436E+11,1,1130705549,32664,001-002-000000002,N,NULL,NULL
135,9.09807E+11,1,1130503926,34156,001-002-000000005,N,NULL,NULL
136,9.09807E+11,1,1130503926,34157,001-002-000000006,N,NULL,NULL
137,9.09807E+11,1,1130503926,34158,001-002-000000007,N,NULL,NULL
138,9.10436E+11,1,1130705549,32665,001-002-000000003,N,NULL,NULL
139,9.10436E+11,1,1130705549,32665,001-002-000000003,N,NULL,NULL
140,9.10436E+11,1,1130705549,32665,001-002-000000003,N,NULL,NULL
141,9.10436E+11,1,1130705549,32666,001-002-000000004,N,NULL,NULL
142,9.10436E+11,1,1130705549,32666,001-002-000000004,N,NULL,NULL
143,9.10436E+11,1,1130705549,32666,001-002-000000004,N,NULL,NULL
144,9.10436E+11,1,1130705549,32667,001-002-000000005,N,NULL,NULL
145,9.10436E+11,1,1130705549,32667,001-002-000000005,N,NULL,NULL
146,9.10436E+11,1,1130705549,32667,001-002-000000005,N,NULL,NULL
147,9.09807E+11,1,1130503926,34159,001-002-000000008,N,NULL,NULL
148,9.10436E+11,1,1130705549,32668,001-002-000000006,N,NULL,NULL
149,9.10436E+11,1,1130705549,32668,001-002-000000006,N,NULL,NULL
150,9.10436E+11,1,1130705549,32668,001-002-000000006,N,NULL,NULL
