CodigoNOM,U# De Ent,CANT,idcodigo
01.001.0001,UNIDADES,4,2
01.001.0002,UNIDADES,5,3
01.001.0003,UNIDADES,1,347
01.001.0004,UNIDADES,1,348
01.001.0005,UNIDADES,5,349
01.001.0006,UNIDADES,4,350
01.001.0007,UNIDADES,1,351
01.001.0008,UNIDADES,6,352
01.001.0009,UNIDADES,3,353
01.001.0010,UNIDADES,2,354
01.001.0011,UNIDADES,5,355
01.001.0013,UNIDADES,6,357
01.001.0014,UNIDADES,4,358
01.001.0015,UNIDADES,2,359
01.001.0016,UNIDADES,2,360
01.001.0017,UNIDADES,2,361
01.001.0018,UNIDADES,3,362
01.001.0019,UNIDADES,3,363
01.001.0020,UNIDADES,3,364
01.001.0021,UNIDADES,3,365
01.001.0024,UNIDADES,4,368
01.001.0025,UNIDADES,1,369
01.001.0026,UNIDADES,2,370
01.001.0027,UNIDADES,5,371
01.001.0028,UNIDADES,3,372
01.001.0029,UNIDADES,1,373
01.001.0030,UNIDADES,1,374
01.001.0031,UNIDADES,5,375
01.001.0032,UNIDADES,2,376
01.001.0033,UNIDADES,1,377
01.001.0034,UNIDADES,2,378
01.001.0035,CAJA,12,379
01.001.0036,UNIDADES,1,380
01.001.0037,UNIDADES,1,381
01.001.0038,UNIDADES,1,382
01.001.0039,UNIDADES,2,383
01.001.0041,UNIDADES,2,385
01.001.0048,CAJA,3,392
01.001.0049,CAJA,1,393
01.001.0051,CAJA,1,395
01.001.0052,CAJA,1,396
01.001.0053,CAJA,2,397
01.001.0054,CAJA,1,398
01.001.0055,CAJA,2,399
01.001.0057,CAJA,1,401
01.001.0059,CAJA,3,403
01.001.0060,CAJA,1,404
01.001.0061,CAJA,1,405
01.001.0063,CAJA,2,407
01.001.0065,CAJA,5,409
01.001.0067,UNIDADES,1,411
01.001.0068,UNIDADES,10,412
01.001.0069,UNIDADES,10,413
01.001.0070,UNIDADES,8,414
01.001.0071,UNIDADES,6,415
01.001.0072,UNIDADES,2,416
01.001.0073,UNIDADES,8,417
01.001.0074,UNIDADES,7,418
01.001.0075,UNIDADES,10,419
01.001.0076,UNIDADES,8,420
01.001.0077,UNIDADES,4,421
01.001.0078,UNIDADES,8,422
01.001.0079,UNIDADES,12,423
01.001.0080,UNIDADES,2,424
01.001.0081,UNIDADES,10,425
01.001.0082,UNIDADES,10,426
01.001.0084,UNIDADES,8,428
01.001.0085,UNIDADES,10,429
01.001.0086,UNIDADES,10,430
01.001.0087,UNIDADES,8,431
01.001.0088,UNIDADES,10,432
01.001.0089,UNIDADES,8,433
01.001.0090,UNIDADES,4,434
01.001.0091,UNIDADES,10,435
01.001.0092,UNIDADES,6,436
01.001.0093,UNIDADES,10,437
01.001.0094,UNIDADES,6,438
01.001.0095,UNIDADES,8,439
01.001.0096,UNIDADES,4,440
01.001.0097,UNIDADES,8,441
01.001.0098,UNIDADES,8,442
01.001.0099,UNIDADES,10,443
01.001.0100,UNIDADES,10,444
01.001.0101,UNIDADES,10,445
01.001.0102,UNIDADES,10,446
01.001.0103,UNIDADES,10,447
01.001.0104,UNIDADES,10,448
01.001.0105,UNIDADES,11,449
01.001.0106,UNIDADES,8,450
01.001.0107,UNIDADES,2,451
01.001.0108,UNIDADES,1,452
01.001.0109,UNIDADES,2,453
01.001.0110,UNIDADES,2,454
01.001.0111,UNIDADES,1,455
01.001.0112,UNIDADES,3,457
01.001.0113,UNIDADES,2,458
01.001.0114,UNIDADES,10,459
01.001.0115,UNIDADES,4,460
01.001.0116,CAJA,1,461
01.001.0117,CAJA,1,462
01.001.0118,CAJA,1,463
01.001.0119,CAJA,1,464
01.001.0120,CAJA,1,465
01.001.0121,UNIDADES,13,466
01.001.0124,UNIDADES,3,469
01.001.0125,UNIDADES,2,470
01.001.0126,CAJA,4,478
01.001.0127,FUNDAS,5,479
01.001.0128,FUNDAS,1,480
01.001.0129,FUNDAS,12,481
01.001.0130,UNIDADES,1,482
01.001.0131,UNIDADES,1,483
01.001.0132,FUNDAS,1,484
01.002.0001,UNIDADES,1,259
01.002.0002,UNIDADES,3,260
01.002.0003,UNIDADES,1,261
01.002.0008,CAJA,1,266
01.002.0009,CAJA,1,267
01.002.0024,CAJA,2,282
01.002.0025,CAJA,2,283
01.002.0026,CAJA,1,284
01.002.0027,CAJA,1,285
01.002.0028,CAJA,1,286
01.002.0029,CAJA,1,287
01.002.0030,CAJA,1,288
01.002.0031,CAJA,1,289
01.002.0032,CAJA,1,290
01.002.0044,CAJA,1,302
01.002.0045,UNIDADES,1,303
01.002.0046,UNIDADES,1,304
01.002.0049,CAJA,1,307
01.002.0050,CAJA,1,308
01.002.0053,CAJA,1,311
01.002.0054,CAJA,1,312
01.002.0055,CAJA,2,313
01.002.0056,CAJA,1,314
01.002.0057,CAJA,1,315
01.002.0058,CAJA,1,316
01.002.0059,CAJA,2,317
01.002.0061,CAJA,1,319
01.002.0063,CAJA,1,321
01.002.0065,CAJA,2,323
01.002.0066,CAJA,3,324
01.002.0069,CAJA,1,327
01.002.0070,CAJA,1,328
