iIdBodega,iIdTipoMov,iIdMovimiento,iLinea,iIdproducto ,dCantidad,dCosto,FCaducidad,sCosteado,sContabilizado
1,1,1,1,411,10.0000,0.0000,2006-08-23 00:00:00,NULL,NULL
1,2,4,1,502,1.0000,0.0000,2006-09-05 00:00:00,NULL,NULL
1,2,5,1,390,1.0000,0.0000,2006-09-11 00:00:00,NULL,NULL
1,1,23,1,535,1.0000,0.0000,2006-09-18 00:00:00,NULL,NULL
1,1,27,1,83,1.0000,0.0000,2006-09-25 00:00:00,NULL,NULL
1,1,31,1,540,2.0000,0.0000,2006-10-03 00:00:00,NULL,NULL
1,1,33,1,243,1.0000,0.0000,2006-11-13 00:00:00,NULL,NULL
1,1,34,1,665,4.0000,0.0000,2006-11-21 00:00:00,NULL,NULL
1,1,36,1,117,2.0000,0.0000,2007-01-02 00:00:00,NULL,NULL
1,1,38,1,144,3.0000,0.0000,2006-10-02 00:00:00,NULL,NULL
1,4,1,1,201,4.0000,0.0000,2018-09-04 00:00:00,NULL,NULL
1,2,13,1,951,11.0000,0.0000,2019-09-25 00:00:00,NULL,NULL
1,2,20,1,1828,1.0000,0.0000,2019-09-25 00:00:00,NULL,NULL
1,1,25,1,39,2.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,1,25,2,36,2.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,1,25,3,603,1.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,1,25,4,470,2.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,1,25,5,382,2.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,1,25,6,601,3.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,1,25,7,593,3.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,1,25,8,602,3.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,1,25,9,424,6.0000,0.0000,2006-09-21 00:00:00,NULL,NULL
1,2,14,1,952,11.0000,0.0000,2019-09-25 00:00:00,NULL,NULL
1,2,18,1,2252,1.0000,0.0000,2019-09-25 00:00:00,NULL,NULL
1,1,28,1,604,1.0000,0.0000,2006-09-25 00:00:00,NULL,NULL
1,1,28,2,568,1.0000,0.0000,2006-09-25 00:00:00,NULL,NULL
1,1,29,1,494,2.0000,0.0000,2006-09-27 00:00:00,NULL,NULL
1,1,29,2,605,1.0000,0.0000,2006-09-27 00:00:00,NULL,NULL
1,1,29,3,606,1.0000,0.0000,2006-09-27 00:00:00,NULL,NULL
1,2,12,1,146,1.0000,0.0000,2006-04-05 00:00:00,NULL,NULL
1,1,18,1,232,6.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,2,597,32.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,3,240,2.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,4,248,6.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,5,246,12.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,6,456,4.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,7,554,10.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,8,557,3000.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,9,598,1.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,18,10,247,6.0000,0.0000,2006-09-12 00:00:00,NULL,NULL
1,1,15,1,370,2.0000,0.0000,2006-09-05 00:00:00,NULL,NULL
1,1,15,2,373,3.0000,0.0000,2006-09-05 00:00:00,NULL,NULL
1,1,15,3,374,3.0000,0.0000,2006-09-05 00:00:00,NULL,NULL
1,1,15,4,377,3.0000,0.0000,2006-09-05 00:00:00,NULL,NULL
