vUsuario,sFechaMarcacion,sHoraEntradaJornadaUno,sHoraSalidaJornadaUno,sHoraEntradaJornadaDos,sHoraSalidaJornadaDos,vUsuarioIngreso,sFechaIngreso,vEstacionIngresa,vUsuarioActualiza,sFechaActualiza,vEstacionActualiza
ftroya,2011-12-01 00:00:00.000,15:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
susana,2011-12-13 00:00:00.000,12:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
susana,2011-12-22 00:00:00.000,12:59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
susana,2012-01-03 00:00:00.000,12:54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
susana,2012-01-19 00:00:00.000,13:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ftroya,2012-03-05 00:00:00.000,08:25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ftroya,2012-03-29 00:00:00.000,08:20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JUGAVILANES,2015-07-04 00:00:00.000,13:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2017-05-11 00:00:00.000,13:15,13:15,16:13,16:13,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2017-11-10 00:00:00.000,09:00,13:03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2017-12-11 00:00:00.000,16:15,16:15,16:15,19:59,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2018-06-14 00:00:00.000,08:59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2018-09-17 00:00:00.000,13:10,13:10,16:07,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2019-12-28 00:00:00.000,14:04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2020-01-03 00:00:00.000,08:40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2020-01-06 00:00:00.000,20:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABCEDEÑO,2022-07-08 00:00:00.000,19:48,19:48,19:48,20:03,NULL,NULL,NULL,NULL,NULL,NULL
ABCEDEÑO,2022-10-05 00:00:00.000,14:51,14:51,14:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2020-01-07 00:00:00.000,13:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2020-01-09 00:00:00.000,13:03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2018-09-20 00:00:00.000,13:05,13:05,15:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DPAREDES,2017-12-12 00:00:00.000,08:59,13:02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
susana,2012-01-09 00:00:00.000,12:59,12:59,12:59,13:00,NULL,NULL,NULL,NULL,NULL,NULL
