siGrupoParametro,siCodigoParametro,vDescCodigoParametro,bActivo,vUsuarioIngreso,sFechaIngreso,sFechaActualiza,vUsuarioActualiza,vEstacionIngresa,vEstacionActualiza
1,1,Administración,1,Admin,4/15/2005 10:05,4/15/2005 11:08,admin,127.0.0.1,192.168.0.162
1,2,Odontología,1,Admin,4/15/2005 10:05,4/15/2005 11:08,admin,127.0.0.1,192.168.0.162
1,3,Facturación,1,Admin,4/15/2005 10:05,4/15/2005 11:08,admin,127.0.0.1,192.168.0.162
1,4,Inventario,1,Admin,4/15/2005 10:05,4/15/2005 11:08,admin,127.0.0.1,192.168.0.162
1,5,Contabilidad,1,Admin,4/15/2005 10:05,4/15/2005 11:08,admin,127.0.0.1,192.168.0.162
1,6,Marcaciones,1,admin,4/15/2005 11:06,4/15/2005 11:06,admin,192.168.0.162,192.168.0.162
2,1,Supervisor,1,Admin,4/15/2005 10:05,NULL,NULL,127.0.0.1,NULL
2,2,Odontologo,1,Admin,4/15/2005 10:05,NULL,NULL,127.0.0.1,NULL
2,3,Asistente,1,Admin,4/15/2005 10:05,NULL,NULL,127.0.0.1,NULL
3,1,RADIOGRAFIA,1,Admin,4/15/2005 10:05,1/2/2019 9:41,susana,127.0.0.1,192.168.0.100
3,2,LABORATORIO,1,susana,7/16/2010 12:18,1/2/2019 9:41,susana,192.168.0.101,192.168.0.100
3,3,TOMOGRAFIAS,1,susana,1/2/2019 9:38,1/2/2019 9:38,susana,192.168.0.100,192.168.0.100
3,4,IMPRESION Y GRABACION,1,susana,1/2/2019 9:38,1/2/2019 9:38,susana,192.168.0.100,192.168.0.100
4,1,UNIDAD,1,Admin,4/15/2005 10:11,11/10/2006 10:31,susana,127.0.0.1,192.168.0.176
4,2,GALON,1,admin,5/7/2005 12:01,11/10/2006 10:31,susana,192.168.0.162,192.168.0.176
4,3,LITROS,1,admin,5/7/2005 12:01,11/10/2006 10:31,susana,192.168.0.162,192.168.0.176
4,4,KILOS,1,admin,5/7/2005 12:45,11/10/2006 10:31,susana,192.168.0.162,192.168.0.176
4,5,GRAMOS,1,admin,5/7/2005 12:45,11/10/2006 10:31,susana,192.168.0.162,192.168.0.176
4,6,ONZAS,1,chiky,5/20/2005 10:38,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,7,LIBRAS,1,chiky,5/20/2005 10:38,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,8,METROS,1,chiky,5/25/2005 16:30,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,9,JERINGA,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,10,CAJA,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,11,PAQUETE,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,12,CARTUCHO,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,13,FUNDAS,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,14,TABLETAS,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,15,FRASCOS,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,16,KIT,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,17,SOBRES,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,18,PARES,1,chiky,8/1/2005 11:32,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,19,ROLLOS,1,chiky,8/1/2005 18:26,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,20,BLOCK,1,chiky,8/1/2005 18:26,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,21,1/4 LITRO,1,chiky,8/12/2005 10:02,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
4,22,CENTIMETROS CUBICOS,1,chiky,8/16/2005 11:07,11/10/2006 10:31,susana,192.168.0.143,192.168.0.176
